q1,q2,q3,q4,q5,q6,index,obj,a_6,d_6,a_5,theta_6,alpha_6,alpha_5,theta_5,a_4,d_5,alpha_4,beta_3,theta_4,alpha_3,a_3,theta_3,beta_2,alpha_2,a_2,d_4,theta_2,alpha_1,a_1,d_1,theta_1
14.650,24.050,141.180,-140.199,65.925,179.909,9.000,-2.551,0.844,-0.090,0.084,-0.334,0.950,-0.126,-0.339,-0.060,1.054,-0.907,-0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000
14.650,24.050,141.180,-136.619,106.736,-179.909,9.000,-2.424,-0.798,-0.041,-0.105,0.229,-0.898,0.002,0.600,-0.099,0.947,0.832,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000
14.65,-7.71,122.12,-24.41,90.000,-14.64,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
44.44,-7.71,122.12,-24.41,90.000,-14.64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
38.44,23.33,134.45,23.58,-25.33,-148.001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17.75,15.88,139.53,24.59,-97.26,-148.001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21.244,26.882,132.820,29.552,-48.041,-148.001,9.000,-0.756,-0.662,0.000,-0.738,-0.889,-0.745,2.025,-1.731,1.061,-0.341,1.627,0.688,0.815,0.515,0.017,-0.142,-0.440,-0.425,0.005,0.032,0.193,-0.608,0.075,0.000,-0.000
9.3,3.28,137.06,41.07,-120.9,-148.001,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
9.3,3.28,137.06,41.07,-120.9,164.189,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
7.159,31.924,129.036,23.906,-116.899,164.189,9.000,-0.562,0.538,0.000,-0.698,0.709,0.606,1.768,1.623,1.229,-0.136,-1.446,-1.007,0.542,-1.012,-0.001,-0.279,0.836,0.429,-0.075,-0.065,-0.247,0.698,0.066,0.000,-0.000
14.65,-7.71,122.12,-24.41,90.000,-14.64,-2.000,1,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000
-1.861,44.691,141.651,-141.085,114.088,38.208,10.000,-0.939,0.286,0.259,0.322,-0.604,0.232,-0.102,-1.384,1.268,0.764,0.412,-3.272,-1.358,0.045,0.176,-0.466,1.787,1.418,-0.215,-0.147,-0.408,1.561,0.140,0.000,-0.000
-1.059,44.412,139.251,-136.230,110.093,55.333,10.000,-0.939,0.289,0.259,0.326,-0.527,0.174,-0.125,-1.085,1.392,0.728,0.227,-3.046,-1.179,-0.096,0.158,-0.411,1.693,1.329,-0.223,-0.145,-0.396,1.480,0.128,-0.000,-0.000
-1.156,44.691,142.128,-140.291,113.933,33.074,10.000,-0.938,0.301,0.259,0.339,-0.598,0.238,-0.099,-1.401,1.200,0.741,0.390,-3.258,-1.369,0.139,0.176,-0.425,1.850,1.389,-0.213,-0.137,-0.403,1.495,0.138,0.000,-0.000
14.65,-7.71,122.12,-24.41,90.000,-14.64,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
24.934,35.181,150.127,-115.376,57.150,-12.013,10.000,-0.916,-0.357,0.259,-0.402,-0.601,-0.462,0.010,-0.926,-0.810,0.372,-0.326,2.156,-0.552,-0.163,0.045,0.304,-1.222,-1.231,-0.034,0.029,0.327,-0.952,0.123,0.000,-0.000
24.750,35.319,150.440,-118.369,53.874,-0.380,10.000,-0.914,-0.439,0.259,-0.495,-0.650,-0.513,0.024,-0.997,-0.678,0.400,-0.358,2.197,-0.566,-0.196,0.039,0.332,-1.267,-1.244,-0.032,0.025,0.319,-0.938,0.122,0.000,-0.000
24.950,35.188,148.922,-110.575,59.897,-26.448,10.000,-0.913,-0.324,0.259,-0.364,-0.527,-0.418,-0.006,-0.761,-0.994,0.328,-0.219,2.081,-0.477,-0.085,0.050,0.294,-1.162,-1.219,-0.039,0.033,0.329,-0.950,0.123,0.000,-0.000
25.284,32.058,137.913,-127.753,50.152,179.909,10.000,-0.780,-0.309,0.259,-0.348,-0.518,-0.546,-0.065,0.574,-0.725,0.756,0.621,1.371,0.332,0.534,0.045,0.113,-0.352,-0.855,-0.055,0.084,0.363,-0.940,0.101,0.000,-0.000
14.65,-7.71,122.12,-24.41,90.000,-14.64,-2.000,1,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000
14.945,24.688,-28.648,81.342,79.111,-55.918,10.000,-2.935,0.011,-0.019,0.013,-0.220,-0.186,-0.011,0.092,-0.937,0.219,-0.150,-6.423,0.063,-0.417,1.987,0.090,-0.008,-0.039,-0.006,0.001,0.014,-0.040,-0.000,0.000,-0.000
14.65,-7.71,122.12,-24.41,90.000,-14.64,-2.000,1,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000
14.650,24.050,122.597,-49.725,67.177,146.086,11.000,-6.641,0.169,-0.012,-0.508,-0.341,1.942,0.190,0.214,0.054,-0.103,0.480,-0.085,2.061,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000
14.650,24.050,122.495,-49.554,68.079,147.625,11.000,-6.641,0.148,-0.012,-0.520,-0.327,1.958,0.166,0.216,0.054,-0.104,0.482,-0.085,2.072,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000
14.650,24.050,122.205,-49.202,71.673,153.522,11.000,-6.623,0.059,-0.011,-0.559,-0.272,2.007,0.066,0.222,0.055,-0.105,0.488,-0.084,2.104,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,0.000,-0.000
14.650,24.050,145.445,-92.436,91.976,-8.110,11.000,-5.304,0.095,0.018,-0.169,0.033,-0.408,0.107,0.170,-0.028,0.214,-0.071,0.054,-0.473,0.000,0.002,-0.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000
14.65,-7.71,122.12,-24.41,90.000,-14.64,-2.000,1,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000
45,9.89,101.34,-109.38,-4.75,-48.38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14.815,24.507,84.076,-179.909,-83.379,-76.403,11.000,-5.961,0.261,-0.089,-0.206,-0.363,-0.326,0.294,-1.294,1.800,0.669,0.566,-0.802,5.246,-0.086,0.490,0.053,-0.017,-0.030,-0.004,0.001,0.007,-0.021,0.001,-0.000,-0.000
14.612,23.966,117.631,-20.835,104.796,-97.982,12.000,-7.403,0.320,0.000,-0.338,0.163,0.360,1.467,-0.311,0.160,-0.345,-0.604,-0.064,1.852,-3.405,0.086,-0.012,-0.007,0.001,0.001,-0.000,-0.002,0.004,0.000,0.000,-0.000
14.550,23.990,110.080,8.398,62.718,61.364,12.000,-4.564,0.014,0.000,-0.182,-0.276,0.016,1.344,0.431,0.276,-0.562,0.334,-0.499,2.167,2.698,0.192,0.001,0.014,0.008,-0.000,0.000,-0.002,0.010,-0.001,-0.000,-0.000
14.646,24.099,127.414,-70.780,77.899,-152.481,12.000,-4.098,1.091,-0.084,-0.336,-0.163,1.229,1.346,-0.421,-0.043,0.132,-0.998,0.173,1.362,-1.682,-0.003,0.004,0.005,-0.000,-0.001,-0.000,-0.000,0.000,0.000,0.000,-0.000
14.650,24.050,124.210,-59.377,68.912,179.909,12.000,-3.635,1.010,-0.165,-0.221,-0.295,1.137,1.718,-0.252,-0.007,0.017,-0.586,0.102,1.858,-1.604,0.000,-0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000,-0.000
14.589,24.060,120.157,-44.635,69.476,179.909,12.000,-3.411,0.911,-0.212,-0.151,-0.284,1.026,2.052,-0.220,0.058,-0.149,-0.454,-0.068,2.291,-1.874,0.053,-0.004,0.005,0.003,0.000,-0.000,-0.003,0.008,0.000,-0.000,-0.000
14.650,24.050,144.353,-87.352,91.412,3.666,12.000,-2.749,0.084,0.000,-0.207,0.018,0.094,-0.215,0.282,-0.017,0.112,-0.077,0.103,-0.267,-0.235,0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000,-0.000,0.000,0.000,-0.000
14.742,24.170,123.575,-61.353,100.228,-179.909,12.000,-1.790,-1.160,-0.098,-0.226,0.137,-1.306,1.586,0.461,-0.013,0.052,1.100,-0.251,1.682,0.890,0.035,0.007,-0.012,-0.011,-0.001,0.000,0.003,-0.010,0.001,0.000,-0.000
14.65,-7.71,122.12,-24.41,90.000,-14.64,-2.000,1,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000
45,9.89,101.34,-109.38,-4.75,-48.38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14.435,23.894,92.197,-179.909,-80.059,94.218,12.000,-3.041,-0.356,-0.242,-0.020,0.591,-0.401,-0.303,2.070,1.708,0.821,-1.183,-1.266,4.761,-3.669,0.365,-0.034,0.010,0.015,0.002,-0.001,-0.010,0.028,0.001,0.000,-0.000
14.65,-7.71,122.12,-24.41,90.000,-14.64,-2.000,1,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000
14.650,24.050,-28.641,85.567,98.349,69.174,13.000,-3.710,0.067,-0.009,-0.271,0.143,0.075,0.411,1.537,-0.018,0.155,-0.027,-3.249,0.359,0.589,1.979,0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-0.000
14.650,24.050,-28.648,85.341,97.787,93.548,13.000,-3.626,-0.004,-0.001,-0.318,0.133,-0.004,0.852,1.588,-0.024,0.159,-0.020,-3.174,0.797,0.438,1.975,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000
14.650,24.050,-11.316,76.843,99.294,40.783,13.000,-3.471,0.127,-0.029,-0.098,0.159,0.143,0.248,1.265,-0.000,0.007,-0.014,-3.545,0.219,0.777,1.933,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,0.000,-0.000
14.650,24.050,-0.299,66.673,97.765,77.379,13.000,-3.414,-0.070,-0.026,-0.146,0.133,-0.079,0.856,1.570,-0.000,-0.007,0.112,-3.099,0.850,0.923,1.869,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000
14.650,24.050,0.654,59.763,95.582,52.748,13.000,-3.391,-0.123,-0.026,-0.111,0.095,-0.138,0.260,1.311,0.011,0.095,0.228,-3.438,0.286,0.939,1.872,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000
14.650,24.051,-14.618,62.479,79.965,77.286,13.000,-3.288,-0.313,-0.028,-0.002,-0.170,-0.353,0.313,1.056,0.027,0.312,0.235,-3.868,0.325,0.531,1.949,0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,-0.000
14.639,24.084,0.026,77.888,88.815,59.281,13.000,-3.264,0.113,-0.018,0.030,-0.020,0.127,0.874,1.195,0.020,-0.207,-0.131,-3.471,0.917,0.652,1.871,0.004,0.002,-0.001,-0.000,0.000,-0.000,0.002,-0.000,-0.000,-0.000
14.657,24.046,4.747,65.681,100.178,21.063,13.000,-3.217,0.122,-0.024,0.005,0.175,0.137,0.196,0.970,-0.005,-0.078,0.056,-3.769,0.157,0.781,1.851,-0.000,-0.001,-0.000,0.000,-0.000,0.000,-0.001,0.000,0.000,-0.000
14.65,-7.71,122.12,-24.41,90.000,-14.64,-2.000,1,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000
8.265,-29.445,117.223,-25.030,98.828,17.809,14.000,-2.849,0.115,0.000,-0.320,0.121,0.130,-0.782,0.814,-0.011,0.470,0.140,-2.181,-0.800,-1.652,0.778,-7.285,0.196,1.878,0.191,-0.029,-0.235,0.848,-0.001,0.000,-0.000
8.653,-27.285,122.382,-35.079,89.044,33.600,14.000,-2.833,-0.118,0.000,-0.296,-0.043,-0.133,-0.730,0.804,-0.000,0.515,0.162,-1.974,-0.733,-1.583,0.656,-6.975,0.182,1.833,0.200,-0.027,-0.223,0.796,-0.002,0.000,-0.000
8.612,-26.006,122.954,-24.338,105.997,-2.237,14.000,-2.811,0.316,0.000,-0.181,0.249,0.356,-0.547,0.656,-0.033,0.301,0.027,-1.834,-0.644,-1.790,0.627,-6.822,0.003,1.812,0.205,-0.027,-0.226,0.801,0.001,0.000,-0.000
8.135,-29.805,103.104,-9.416,99.153,28.160,14.000,-2.806,0.081,0.000,-0.324,0.127,0.091,-0.668,1.004,-0.015,0.448,0.170,-2.627,-0.691,-1.430,1.029,-7.321,0.350,1.859,0.188,-0.029,-0.237,0.865,-0.004,0.000,-0.000
8.591,-27.269,106.465,-17.521,82.020,60.798,14.000,-2.782,-0.238,0.000,-0.171,-0.162,-0.269,-0.304,0.949,-0.007,0.486,0.189,-2.464,-0.348,-1.483,0.926,-6.963,0.291,1.816,0.199,-0.027,-0.224,0.804,-0.003,0.000,-0.000
9.925,-22.025,128.496,-34.625,102.438,-10.945,14.000,-2.728,0.267,0.012,-0.184,0.196,0.301,-0.566,0.399,-0.027,0.316,0.003,-1.440,-0.635,-1.896,0.494,-6.270,-0.229,1.769,0.203,-0.020,-0.187,0.629,0.002,0.000,-0.000
11.519,-5.536,135.269,-55.492,99.801,-14.294,14.000,-2.556,0.226,-0.015,-0.127,0.162,0.255,-0.454,0.287,0.007,0.276,-0.011,-0.885,-0.453,-1.262,0.269,-4.092,-0.113,1.248,0.138,-0.006,-0.133,0.431,0.002,0.000,-0.000
8.580,-27.965,105.924,-16.195,100.456,-41.041,14.000,-2.556,0.357,0.000,-0.228,0.151,0.402,-0.609,-0.183,0.003,0.495,-0.124,-2.411,-0.627,-3.038,0.968,-7.161,-0.549,1.952,0.182,-0.026,-0.234,0.807,0.010,-0.000,-0.000
10.134,-15.774,98.536,-16.285,105.822,-143.011,14.000,-2.322,0.036,-0.000,0.008,0.251,0.041,1.224,0.047,-0.020,0.411,-0.170,-2.327,1.185,-2.723,0.872,-5.381,-0.410,1.544,0.220,-0.020,-0.180,0.597,0.004,0.000,-0.000
14.65,-7.71,122.12,-24.41,90.000,-14.64,-2.000,1,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000
-3.088,43.656,-14.178,61.743,99.182,67.352,15.000,-0.883,-0.080,0.006,0.049,0.226,-0.090,0.602,1.670,-0.005,0.017,0.082,-3.742,0.635,0.273,1.842,1.845,3.091,1.115,-0.099,0.070,-0.442,2.517,0.038,0.000,-0.000
-3.927,41.356,-8.795,71.256,108.664,55.403,15.000,-0.879,0.234,0.006,0.019,0.396,0.264,0.766,1.850,-0.030,-0.197,-0.193,-3.639,0.695,0.225,1.827,1.537,3.190,1.187,-0.079,0.073,-0.444,2.638,0.041,-0.000,-0.000
-2.449,43.241,-10.551,83.324,102.681,49.494,15.000,-0.876,0.342,0.005,0.172,0.283,0.385,1.038,1.587,-0.008,-0.409,-0.427,-3.913,0.974,0.135,1.825,1.785,3.004,1.057,-0.096,0.067,-0.441,2.424,0.039,0.000,-0.000
-2.698,41.236,-5.658,58.992,91.077,88.739,15.000,-0.875,-0.053,0.018,0.176,0.085,-0.060,1.093,1.528,-0.016,-0.038,-0.061,-3.881,1.066,0.065,1.808,1.525,3.013,1.073,-0.080,0.067,-0.442,2.460,0.040,-0.000,-0.000
3.506,44.690,-21.695,68.776,109.733,-61.619,15.000,-0.874,0.385,0.000,0.188,0.375,0.434,0.530,-0.045,-0.006,0.003,-0.211,-5.580,0.473,-0.316,1.860,2.016,2.267,0.511,-0.120,0.038,-0.374,1.563,0.033,0.000,-0.000
-7.218,33.055,13.412,47.676,108.446,92.909,15.000,-0.873,-0.029,0.000,0.014,0.394,-0.033,1.127,2.032,-0.014,-0.011,-0.056,-3.404,1.172,-0.039,1.724,0.332,3.583,1.403,-0.016,0.078,-0.444,3.107,0.059,0.000,-0.000
3.644,44.690,-17.722,70.909,113.338,-78.412,15.000,-0.871,0.263,-0.000,0.283,0.440,0.296,1.006,-0.043,-0.019,-0.101,-0.219,-5.569,0.943,-0.471,1.845,2.014,2.252,0.501,-0.120,0.037,-0.372,1.543,0.033,-0.000,-0.000
16.058,16.103,135.745,-84.537,98.837,-99.719,15.000,-0.966,0.494,0.003,-0.069,0.151,0.557,0.594,-0.543,0.019,0.378,-0.526,0.280,0.590,-0.962,0.050,-0.846,-0.554,0.203,0.062,0.003,0.069,-0.185,-0.005,0.000,-0.000
1.922,26.963,127.152,-61.866,103.623,85.502,15.000,-0.873,-0.126,-0.000,0.051,0.284,-0.141,0.992,1.843,-0.009,-0.015,0.139,-1.803,1.040,0.429,0.116,-0.164,2.101,0.703,-0.000,0.052,-0.391,1.797,0.023,0.000,-0.000
14.65,-7.71,122.12,-24.41,90.000,-14.64,-2.000,1,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000
15.102,-28.984,118.048,-27.096,87.031,-43.052,16.000,-1.770,0.202,0.000,-0.301,-0.048,0.228,-0.563,-0.550,-0.005,0.483,-0.293,-1.836,-0.566,-3.281,0.763,-6.971,-0.991,2.395,0.186,0.002,0.021,-0.059,-0.001,0.000,-0.000
15.440,44.691,-14.421,65.186,81.735,107.160,16.000,-1.171,-0.297,0.024,0.139,-0.146,1.537,-0.334,1.093,-0.018,-0.091,0.352,-3.373,1.482,1.340,1.826,2.693,-0.062,-1.116,-0.126,-0.003,0.035,-0.108,0.002,0.000,-0.000
21.083,44.691,-32.217,85.479,89.647,57.094,16.000,-1.026,-0.145,0.013,-0.068,-0.022,-0.164,0.650,1.169,-0.012,-0.114,0.190,-3.018,0.628,1.892,1.886,2.712,-0.832,-1.712,-0.142,-0.016,0.319,-0.861,0.022,0.000,-0.000
16.259,44.691,-54.217,99.155,84.053,77.321,16.000,-0.999,0.007,0.008,-0.094,-0.100,0.008,0.813,1.204,-0.001,0.010,-0.022,-3.457,0.823,1.013,1.971,2.225,0.173,-1.035,-0.229,0.003,0.074,-0.217,0.003,0.000,-0.000
14.65,-7.71,122.12,-24.41,90.000,-14.64,-2.000,1,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000
45,9.89,101.34,-109.38,-4.75,-48.38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14.863,-2.866,77.876,-179.909,-75.446,-161.619,16.000,-0.988,-0.173,0.008,-0.126,0.201,-0.195,1.655,0.271,1.966,0.258,-0.020,-2.561,3.286,-2.340,1.001,-3.363,-0.457,1.118,0.201,0.001,0.009,-0.028,0.000,0.000,-0.000
14.844,-1.994,79.699,-179.909,-90.053,-166.801,16.000,-1.013,0.075,0.031,-0.184,-0.131,0.084,1.651,-0.205,1.963,0.291,0.080,-2.344,3.337,-1.810,0.959,-3.250,-0.299,1.094,0.194,0.001,0.009,-0.025,0.000,-0.000,-0.000
14.65,-7.71,122.12,-24.41,90.000,-14.64,-2.000,1,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000
14.650,37.242,-59.680,100.702,98.108,61.678,17.000,-0.251,0.091,0.000,-0.296,0.139,0.103,0.194,1.469,-0.027,0.201,-0.035,-3.216,0.125,0.780,1.973,1.316,0.222,-0.525,-0.159,0.000,-0.000,-0.000,0.000,-0.000,-0.000
14.650,37.242,-55.777,89.302,96.676,94.082,17.000,-0.247,-0.181,0.000,-0.305,0.114,-0.203,0.568,1.554,-0.021,0.331,0.214,-3.167,0.544,0.691,1.980,1.318,0.214,-0.529,-0.158,-0.000,-0.000,-0.000,-0.000,0.000,-0.000
14.650,37.242,-56.052,104.341,88.435,74.388,17.000,-0.244,0.131,0.018,-0.204,-0.027,0.148,0.625,1.297,-0.015,0.076,-0.148,-3.434,0.601,0.613,1.984,1.311,0.243,-0.515,-0.160,-0.000,-0.000,0.000,-0.000,-0.000,-0.000
14.660,37.242,-58.593,108.057,84.638,59.666,17.000,-0.240,0.134,0.017,-0.121,-0.092,0.399,0.151,1.074,-0.012,0.056,-0.173,-3.719,0.393,0.610,1.984,1.305,0.274,-0.500,-0.161,0.000,0.000,-0.001,0.000,0.000,-0.000
14.650,-6.152,21.944,50.933,84.676,43.035,17.000,-0.237,-0.120,0.022,-0.245,-0.092,-0.445,-0.135,0.879,-0.021,0.402,0.035,-4.020,-0.493,-0.541,1.859,-3.828,-0.304,1.273,0.208,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000
14.650,37.242,-51.545,82.598,95.758,134.682,17.000,-0.228,-0.266,0.006,-0.197,0.098,-0.299,1.186,1.221,-0.020,0.374,0.244,-3.637,1.171,0.411,1.991,1.307,0.263,-0.505,-0.161,0.000,-0.000,-0.000,0.000,0.000,-0.000
14.65,-7.71,122.12,-24.41,90.000,-14.64,-2.000,1,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000
22.936,16.859,148.969,-69.616,40.107,12.906,18.000,-0.188,0.111,-0.000,-0.002,-0.303,0.125,0.019,-0.247,0.090,-0.013,0.375,0.300,-0.064,0.227,0.016,-0.248,0.379,-0.029,0.132,0.120,0.204,-0.466,0.036,0.000,-0.000
28.687,23.558,120.350,-48.464,40.107,-20.550,18.000,-0.123,-0.588,0.002,-0.130,-0.704,-0.662,-0.011,-1.252,-0.078,0.015,-0.411,-0.668,0.484,-0.875,0.380,-0.155,-2.569,-0.407,0.022,-0.201,0.387,-1.082,0.066,0.000,-0.000
34.979,27.335,94.544,-22.871,34.617,-20.432,18.000,-0.119,-0.758,0.012,-0.184,-0.879,-0.854,-0.047,-1.554,-0.126,0.030,-0.171,-2.022,0.393,-0.219,0.752,0.119,-3.881,-0.888,0.080,-0.282,0.614,-1.520,0.119,0.000,-0.000
39.552,32.531,75.662,7.768,30.381,-41.325,18.000,-0.115,-0.786,0.078,-0.265,-1.139,-0.886,0.304,-2.224,-0.319,-0.146,0.257,-2.770,0.293,0.396,0.955,0.640,-4.966,-1.517,0.139,-0.338,0.803,-1.817,0.158,0.000,-0.000
32.765,26.999,98.217,-24.343,19.013,103.710,18.000,-0.111,-1.257,-0.000,0.747,-1.052,-1.415,0.633,-1.099,-0.144,0.027,0.440,-1.519,0.476,0.475,0.685,-0.162,-3.371,-0.793,0.082,-0.237,0.502,-1.356,0.136,0.000,-0.000
96.539,-81.723,32.728,97.403,40.107,99.455,18.000,-0.159,1.072,0.399,-0.463,0.296,1.208,0.166,1.644,-0.367,0.321,-2.802,-4.923,-0.484,-2.390,1.511,-3.864,0.622,9.717,0.573,1.118,4.879,-1.930,-0.199,0.000,-0.000
14.65,-7.71,122.12,-24.41,90.000,-14.64,-2.000,2,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000
50.000,-30.000,55.000,47.000,78.000,180,-1.000,1,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
103.528,-50,-11.701,103.000,67.000,180,-1.000,1,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
129.488,-30.434,-14.960,141.460,61.567,-6.218,19.000,-3.106,-0.063,0.000,-0.059,-0.105,-0.211,-0.071,-0.021,0.007,0.107,-1.108,-4.340,-0.220,2.170,1.683,4.436,-0.876,4.048,0.052,0.383,13.063,-3.051,0.209,0.000,-0.000
129.488,-31.070,-19.442,129.351,73.370,-18.860,19.000,-3.101,0.212,0.021,-0.240,0.107,-0.648,0.239,0.098,0.013,0.381,-1.359,-4.179,-0.559,2.420,1.626,4.478,-0.842,4.117,0.050,0.391,13.075,-3.045,0.194,0.000,-0.000
129.488,-32.680,-12.571,125.429,63.424,0.729,19.000,-3.098,-0.028,0.002,-0.227,-0.081,-0.704,-0.032,0.151,0.013,0.392,-1.309,-4.243,-0.634,2.304,1.677,4.032,-0.835,4.262,0.029,0.372,13.049,-3.060,0.227,-0.000,-0.000
129.488,-30.709,-5.390,141.536,73.746,-21.445,19.000,-3.098,0.050,0.004,0.003,0.080,0.039,0.057,0.012,0.031,-0.002,-0.901,-4.507,0.090,1.848,1.767,4.038,-0.948,4.055,0.039,0.352,13.028,-3.076,0.256,-0.000,-0.000
